laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
E07000108,DOVER,57181,57123,95.3,66.8,66.8,46,66.8,0.5,0.7,1.2,4.6,0.1,98.6,33,54499,38176,38176,26290,38176,277,380,669,2624,71,56402,18854,16323,38176,277,103,289,1955,28.5,66.8,0.5,0.2,0.5,3.4
E08000027,DUDLEY,148340,148231,99.2,92.6,91.8,29.1,88.6,0,0,0,0.7,0,99.6,4.4,147207,137384,136163,43181,131467,1,9,54,1024,6,147698,6458,11044,136163,1,8,45,970,7.4,91.8,0,0,0,0.7
S12000006,DUMFRIES AND GALLOWAY,83221,83110,90.3,25.6,25.6,25.6,25.6,1.1,2.5,4.5,9.6,1.6,97.5,0,75149,21320,21320,21319,21320,903,2053,3710,7961,1322,81149,11,53829,21320,903,1150,1657,4251,64.7,25.6,1.1,1.4,2,5.1
S12000042,DUNDEE CITY,80812,80801,99,94.4,93.3,74.3,92.5,0,0,0.1,1,0,99.4,0,79979,76284,75400,60028,74763,1,24,106,822,6,80304,0,4579,75400,1,23,82,716,5.7,93.3,0,0,0.1,0.9
E09000009,EALING,155135,154935,99.2,92.3,91.9,64.7,91.8,0,0.1,0.4,0.7,0,99.2,0,153916,143166,142571,100302,142417,2,184,572,1019,7,153926,0,11345,142571,2,182,388,447,7.3,91.9,0,0.1,0.3,0.3
S12000008,EAST AYRSHIRE,62533,62446,97.8,65.7,65.2,60.8,64.9,0.3,0.5,0.9,2.1,0.2,99.3,0,61141,41115,40769,38031,40577,159,296,549,1305,95,62068,0,20372,40769,159,137,253,756,32.6,65.2,0.3,0.2,0.4,1.2
E07000009,EAST CAMBRIDGESHIRE,41666,41622,97.1,75.8,73.9,67.2,73.1,0.3,0.7,1.1,2.8,0.2,99.4,1.3,40446,31582,30810,28016,30440,136,274,445,1176,66,41415,535,9636,30810,136,138,171,731,23.1,73.9,0.3,0.3,0.4,1.8
E07000040,EAST DEVON,77721,77621,94.1,68.9,68.6,68.4,68.5,0.3,1,1.9,5.8,0.3,97.9,14.7,73148,53529,53295,53159,53213,219,771,1503,4473,232,76095,11432,19853,53295,219,552,732,2970,25.5,68.6,0.3,0.7,0.9,3.8
S12000045,EAST DUNBARTONSHIRE,50539,50530,97.6,88.7,88.3,49.2,88,0.1,0.2,0.4,2.3,0,99.1,0,49351,44847,44619,24887,44467,58,115,180,1179,10,50068,0,4732,44619,58,57,65,999,9.4,88.3,0.1,0.1,0.1,2
E07000085,EAST HAMPSHIRE,59195,59026,94.5,66,65.4,46.1,64.8,0.2,0.5,1,5.2,0.2,98.4,0,55950,39048,38720,27286,38341,108,293,572,3076,145,58233,0,17230,38720,108,185,279,2504,29.1,65.4,0.2,0.3,0.5,4.2
E07000242,EAST HERTFORDSHIRE,69274,69226,96.5,78.1,75.3,23.8,73.1,0.1,0.3,0.6,3.4,0.2,98.5,0,66837,54075,52193,16469,50628,60,199,412,2389,115,68249,3,14644,52193,60,139,213,1977,21.1,75.3,0.1,0.2,0.3,2.9
E07000137,EAST LINDSEY,74477,74403,89.2,42.2,41.6,35.5,40.9,0.9,2.7,4.4,10.7,0.5,97.7,56.7,66463,31439,30963,26418,30444,640,1975,3283,7940,388,72752,42219,35500,30963,640,1335,1308,4657,47.7,41.6,0.9,1.8,1.8,6.3
S12000010,EAST LOTHIAN,53696,53574,95.1,77.7,77.7,77.7,77.7,0.5,1.3,2.3,4.7,0.2,98.2,34.6,51076,41702,41702,41700,41702,279,703,1212,2498,114,52717,18579,9374,41702,279,424,509,1286,17.5,77.7,0.5,0.8,0.9,2.4
S12000011,EAST RENFREWSHIRE,42314,42301,97.2,82.9,82.8,53.5,82.8,0.1,0.2,0.6,2.7,0.1,99.1,0,41144,35089,35028,22630,35018,32,67,253,1157,33,41944,0,6116,35028,32,35,186,904,14.5,82.8,0.1,0.1,0.4,2.1
E06000011,EAST RIDING OF YORKSHIRE,171606,170948,97.3,80.8,80.6,80.4,80.4,0.4,0.7,1.1,2.4,0.2,99.1,31,166909,138610,138234,137972,137974,611,1239,1892,4039,269,170072,53193,28675,138234,611,628,653,2147,16.7,80.6,0.4,0.4,0.4,1.3
E07000193,EAST STAFFORDSHIRE,57796,57691,96.1,57.4,54.5,51.1,52.7,0.3,0.7,1.1,3.7,0.2,99.4,0,55558,33163,31516,29535,30451,178,432,657,2133,118,57434,0,24042,31516,178,254,225,1476,41.6,54.5,0.3,0.4,0.4,2.6
E07000244,EAST SUFFOLK,128941,128345,96.3,52.8,52.7,47.5,52.7,0.1,0.5,0.9,3.3,0.3,98.7,4.3,124113,68020,68010,61250,68009,168,609,1127,4232,329,127210,5537,56103,68010,168,441,518,3105,43.5,52.7,0.1,0.3,0.4,2.4
E07000061,EASTBOURNE,51354,51336,99.7,81.5,81.5,81.5,81.5,0,0,0,0.2,0,99.8,0,51209,41848,41848,41848,41848,0,4,22,127,3,51233,0,9361,41848,0,4,18,105,18.2,81.5,0,0,0,0.2
E07000086,EASTLEIGH,62654,62622,97.8,79.7,77.5,25.3,76.2,0,0.1,0.2,2.1,0,99.2,0,61298,49910,48584,15829,47749,1,40,141,1324,0,62165,0,12714,48584,1,39,101,1183,20.3,77.5,0,0.1,0.2,1.9
E07000030,EDEN,30848,30739,85.9,41.9,41.9,41.9,41.9,3.3,5.8,7.6,13.8,1.2,96.9,10.6,26495,12921,12921,12921,12921,1006,1798,2357,4244,375,29906,3257,13574,12921,1006,792,559,1887,44,41.9,3.3,2.6,1.8,6.1
E07000207,ELMBRIDGE,61873,61842,98.9,84.2,82.2,44.9,80.6,0,0.1,0.1,1,0,99.5,0,61204,52088,50871,27770,49843,29,42,69,638,0,61591,0,10333,50871,29,13,27,569,16.7,82.2,0,0,0,0.9
E09000010,ENFIELD,134997,134226,97.6,88.9,88.2,16.8,87.7,0,0.1,0.8,1.8,0,97.9,0,131775,120035,119120,22742,118333,22,126,1087,2451,66,132190,0,12655,119120,22,104,961,1364,9.4,88.2,0,0.1,0.7,1
E07000072,EPPING FOREST,61835,61812,97.1,87.3,86.2,55.6,85.3,0.1,0.3,0.6,2.8,0.1,98.2,0.4,60062,54005,53329,34375,52772,73,175,378,1750,46,60717,223,6733,53329,73,102,203,1372,10.9,86.2,0.1,0.2,0.3,2.2
E07000208,EPSOM AND EWELL,33640,33628,99.8,93.7,93.6,81.6,93.6,0,0,0,0.2,0,99.8,0,33558,31504,31485,27457,31479,0,4,4,70,1,33589,0,2073,31485,0,4,0,66,6.2,93.6,0,0,0,0.2
E07000036,EREWASH,56466,56375,98.5,87.6,86.6,63.5,85.9,0.3,0.3,0.4,1.3,0,99.6,0,55625,49439,48883,35878,48532,158,196,239,750,6,56235,0,6742,48883,158,38,43,511,11.9,86.6,0.3,0.1,0.1,0.9
E07000041,EXETER,62279,62039,97.6,91,91,75.5,91,0,0.1,0.8,2,0,98,33.9,60787,56677,56677,47033,56677,4,38,477,1252,1,61019,21125,4110,56677,4,34,439,775,6.6,91,0,0.1,0.7,1.2
S12000014,FALKIRK,75290,75289,97.4,89.9,89.8,27.2,89.7,0.1,0.3,0.8,2.6,0.1,98.9,0,73354,67649,67592,20454,67570,52,261,591,1935,69,74454,0,5762,67592,52,209,330,1344,7.7,89.8,0.1,0.3,0.4,1.8
E07000087,FAREHAM,52982,52966,98.9,89.4,87.4,43.2,86,0.1,0.1,0.2,1.1,0,99.7,0,52384,47388,46280,22905,45540,47,76,117,582,2,52848,0,6104,46280,47,29,41,465,11.5,87.4,0.1,0.1,0.1,0.9
E07000010,FENLAND,49184,49161,96.6,76.7,76.7,64.4,76.7,0.3,0.7,1.1,3.4,0.2,99.1,0,47507,37727,37727,31665,37727,127,350,527,1654,95,48746,20,9780,37727,127,223,177,1127,19.9,76.7,0.3,0.5,0.4,2.3
N09000006,FERMANAGH AND OMAGH,54648,54232,94.2,84.6,84.6,84.6,84.6,1.7,2.6,3.3,5,0.6,99,39.3,51499,46238,46238,46238,46238,931,1413,1823,2733,347,54125,21451,5261,46238,931,482,410,910,9.6,84.6,1.7,0.9,0.8,1.7
S12000047,FIFE,195645,194616,96.7,72.7,72.5,53.1,72.4,0.2,0.5,0.9,2.7,0.1,99,0,189276,142137,141842,103954,141733,438,1036,1795,5340,274,193618,0,47434,141842,438,598,759,3545,24.2,72.5,0.2,0.3,0.4,1.8
W06000005,FLINTSHIRE,75592,75471,96.6,75.6,72.2,70.3,70.3,0.3,0.8,1.4,3.2,0.2,98.5,38.7,73039,57174,54591,53135,53135,209,574,1074,2432,133,74471,29287,18448,54591,209,365,500,1358,24.4,72.2,0.3,0.5,0.7,1.8
E07000112,FOLKESTONE AND HYTHE,55450,55423,94.9,66,65.9,51.1,65.9,0.7,1.2,2,5,0.1,98.2,12.5,52644,36576,36515,28311,36515,362,652,1115,2779,54,54473,6930,16129,36515,362,290,463,1664,29.1,65.9,0.7,0.5,0.8,3
E07000080,FOREST OF DEAN,42780,42707,88.9,58.7,57.9,57.3,57.3,0.5,2.3,5,10.9,0.8,92.6,0.4,38052,25121,24783,24524,24528,206,987,2149,4655,323,39623,153,13269,24783,206,781,1162,2506,31,57.9,0.5,1.8,2.7,5.9
E07000119,FYLDE,37556,37535,97.8,86,84.6,72.4,83.8,0.1,0.3,0.6,2.1,0,99.6,2,36742,32290,31788,27203,31470,22,104,241,793,2,37410,764,4954,31788,22,82,137,552,13.2,84.6,0.1,0.2,0.4,1.5
E08000037,GATESHEAD,102175,102020,96.9,79.9,79,26.6,77.9,0.1,0.3,1,3,0.1,98,0,98980,81614,80756,27156,79560,85,343,1024,3040,97,100138,2,18224,80756,85,258,681,2016,17.8,79,0.1,0.3,0.7,2
E07000173,GEDLING,56750,56711,99,92.1,91.8,69.2,91.6,0.1,0.2,0.3,1,0.1,99.8,1.5,56156,52262,52102,39272,51988,34,118,149,555,38,56644,877,4054,52102,34,84,31,406,7.1,91.8,0.1,0.1,0.1,0.7
S12000049,GLASGOW CITY,341169,340237,97.9,88.3,85.6,71.2,83.3,0,0.1,0.2,1.8,0,98.1,0,334058,301200,292168,242800,284332,20,191,673,6179,11,334696,0,41890,292168,20,171,482,5506,12.3,85.6,0,0.1,0.1,1.6
E07000081,GLOUCESTER,61662,61651,99.1,92.1,92.1,37.2,92.1,0,0.2,0.3,0.9,0,99.4,0,61095,56786,56786,22929,56786,5,126,195,556,2,61285,0,4309,56786,5,121,69,361,7,92.1,0,0.2,0.1,0.6
E07000088,GOSPORT,39264,39259,99.7,89.5,89.5,50.5,89.4,0,0,0,0.3,0,100,0,39148,35138,35135,19832,35103,2,3,7,111,0,39248,0,4013,35135,2,1,4,104,10.2,89.5,0,0,0,0.3
E07000109,GRAVESHAM,46421,46361,97.4,83.5,80.7,64,77.2,0,0.3,0.4,2.4,0.1,98.9,0,45224,38762,37482,29703,35849,22,142,198,1137,42,45921,0,7742,37482,22,120,56,939,16.7,80.7,0,0.3,0.1,2
E07000145,GREAT YARMOUTH,50136,50056,98.1,63.7,63.7,29.9,63.7,0,0.1,0.2,1.7,0.1,99.6,0,49181,31945,31945,14970,31945,8,43,104,875,45,49922,1,17236,31945,8,35,61,771,34.4,63.7,0,0.1,0.1,1.5
E09000011,GREENWICH,127815,127752,99,87.4,86.2,66.8,85.3,0,0.1,0.3,0.9,0,99.1,0,126542,111738,110126,85404,109072,0,170,330,1210,3,126632,1,16416,110126,0,170,160,880,12.8,86.2,0,0.1,0.1,0.7
E07000209,GUILDFORD,60598,60571,97.1,78.4,75.7,37.9,72.9,0,0.2,0.6,2.8,0.1,99.2,0,58864,47530,45849,22990,44190,27,114,337,1707,57,60092,0,13015,45849,27,87,223,1370,21.5,75.7,0,0.1,0.4,2.3
W06000002,GWYNEDD,68545,68350,92,41.6,40.2,39.3,39.3,0.9,2,3.7,7.7,1.1,95.8,17.4,63050,28516,27568,26963,26965,619,1379,2542,5300,772,65667,11929,35482,27568,619,760,1163,2758,51.8,40.2,0.9,1.1,1.7,4
E09000012,HACKNEY,128539,127961,98,86.1,83.7,62.8,82.5,0,0,0.2,1.5,0.2,98,0,125987,110640,107614,80681,106081,2,49,243,1974,238,126023,0,18373,107614,2,47,194,1731,14.3,83.7,0,0,0.2,1.3
E06000006,HALTON,62053,62024,98.5,76.6,76.1,28.9,75.8,0,0.1,0.2,1.5,0,99.6,0,61096,47555,47201,17916,47021,28,79,155,928,0,61800,0,13895,47201,28,51,76,773,22.4,76.1,0,0.1,0.1,1.2
E07000164,HAMBLETON,46215,46156,92.3,62,62,61.9,61.9,1,2.4,3.6,7.6,0.5,98.6,45.7,42646,28661,28639,28611,28615,468,1099,1678,3510,245,45565,21108,14007,28639,468,631,579,1832,30.3,62,1,1.4,1.3,4
E09000013,HAMMERSMITH AND FULHAM,94853,94570,97.2,90.5,86.9,75.7,83.6,0,0.1,0.2,2.5,0,97.2,0,92227,85844,82463,71796,79304,0,52,236,2343,1,92233,0,9764,82463,0,52,184,2107,10.3,86.9,0,0.1,0.2,2.2
E07000131,HARBOROUGH,45650,45606,96.2,58.5,54.5,42.4,52.1,0.3,0.5,1.2,3.7,0.4,98.9,0,43903,26690,24894,19351,23774,142,247,560,1703,174,45155,0,19009,24894,142,105,313,1143,41.6,54.5,0.3,0.2,0.7,2.5
E09000014,HARINGEY,112729,112652,98.7,86.6,85.5,28.8,84.3,0,0,0.2,1.2,0,98.8,0,111308,97628,96342,32515,95009,0,23,216,1344,1,111396,0,14966,96342,0,23,193,1128,13.3,85.5,0,0,0.2,1
E07000073,HARLOW,41893,41856,97.4,92.1,91,12.2,90.1,0,0,0.8,2.5,0,97.6,0,40801,38602,38127,5124,37741,3,19,354,1055,2,40886,1,2674,38127,3,16,335,701,6.4,91,0,0,0.8,1.7
E07000165,HARROGATE,81351,81286,95.2,70.5,70,65.8,69.3,0.6,1.3,1.8,4.8,0.3,98.8,30.9,77407,57343,56908,53495,56347,505,1019,1433,3879,248,80360,25139,20499,56908,505,514,414,2446,25.2,70,0.6,0.6,0.5,3
E09000015,HARROW,100986,100924,98.3,84.1,84.1,42.8,82.7,0,0,0.5,1.6,0,98.4,0,99296,84929,84929,43256,83553,2,20,553,1628,15,99396,0,14367,84929,2,18,533,1075,14.2,84.1,0,0,0.5,1.1
E07000089,HART,44075,44047,96.8,74.6,74.6,36.7,74.6,0.1,0.3,0.5,3.1,0.1,99.5,0,42660,32893,32893,16178,32893,25,113,227,1387,26,43835,0,9767,32893,25,88,114,1160,22.2,74.6,0.1,0.2,0.3,2.6
E06000001,HARTLEPOOL,47853,47796,97.3,91.4,91.4,43.1,91.4,0.3,0.5,1,2.5,0,97.9,0.2,46584,43758,43758,20617,43758,151,258,487,1212,10,46859,76,2826,43758,151,107,229,725,5.9,91.4,0.3,0.2,0.5,1.5
E07000062,HASTINGS,46421,46337,99.3,43.6,43.6,43.6,43.6,0,0,0.1,0.5,0,99.8,0,46085,20246,20246,20246,20246,0,6,26,252,1,46327,0,25839,20246,0,6,20,226,55.7,43.6,0,0,0,0.5
E07000090,HAVANT,59135,59089,99.2,88.3,88.3,22.1,88.3,0,0.1,0.1,0.7,0,99.6,0,58671,52226,52224,13088,52211,0,48,55,418,8,58884,7,6447,52224,0,48,7,363,10.9,88.3,0,0.1,0,0.6
E09000016,HAVERING,113547,113479,97.8,88.6,87.3,43.6,86.2,0,0.2,0.4,2.1,0.2,98.5,0,111101,100636,99151,49505,97917,53,215,454,2378,204,111869,0,11950,99151,53,162,239,1924,10.5,87.3,0,0.1,0.2,1.7
E06000019,"HEREFORDSHIRE, COUNTY OF",93028,92874,91.9,69.6,69,68.5,68.5,0.7,1.8,3.2,7.9,1,97,2.7,85518,64776,64165,63712,63712,647,1669,3011,7356,900,90262,2537,21353,64165,647,1022,1342,4345,23,69,0.7,1.1,1.4,4.7
E07000098,HERTSMERE,47331,47312,98.2,85.2,83.4,15.8,81.9,0,0.2,0.3,1.7,0,99,0,46484,40348,39451,7458,38770,5,84,151,828,0,46854,0,7033,39451,5,79,67,677,14.9,83.4,0,0.2,0.1,1.4
E07000037,HIGH PEAK,47091,47003,94.1,21.4,19,16.5,16.5,0.4,0.7,1.1,5.7,0.3,99,0,44296,10071,8959,7787,7787,191,311,501,2707,122,46602,0,35337,8959,191,120,190,2206,75,19,0.4,0.3,0.4,4.7
S12000017,HIGHLAND,121345,119709,84.5,36.5,36.5,36.5,36.5,2.1,4.1,7,14.2,2.2,93.5,5,102489,44338,44338,44338,44338,2529,4960,8516,17220,2655,113424,6047,58151,44338,2529,2431,3556,8704,47.9,36.5,2.1,2,2.9,7.2
E09000017,HILLINGDON,122930,122655,97.5,90.4,89.6,51.3,88.8,0,0.1,0.6,2.3,0,97.7,0,119861,111144,110139,63028,109207,49,159,784,2794,26,120113,0,9722,110139,49,110,625,2010,7.9,89.6,0,0.1,0.5,1.6
E07000132,HINCKLEY AND BOSWORTH,55751,55567,97.9,68.7,66.4,31.2,64.9,0.1,0.2,0.4,1.8,0.1,99.4,0,54588,38285,37036,17368,36160,35,111,223,979,38,55440,0,17552,37036,35,76,112,756,31.5,66.4,0.1,0.1,0.2,1.4
E07000227,HORSHAM,69009,68923,95.1,59.3,57.1,55.4,55.4,0.3,0.7,1.2,4.8,0.3,99.4,0,65621,40951,39425,38242,38246,178,513,856,3302,230,68580,0,26196,39425,178,335,343,2446,38,57.1,0.3,0.5,0.5,3.5
E09000018,HOUNSLOW,104584,104435,97.6,88.2,88.1,38.9,88.1,0,0.1,0.5,2.2,0,97.7,0,102089,92219,92172,40658,92167,4,127,543,2346,15,102178,0,9917,92172,4,123,416,1803,9.5,88.1,0,0.1,0.4,1.7
E07000011,HUNTINGDONSHIRE,86528,86085,97.2,76.2,74.2,52.6,72.3,0.2,0.5,0.9,2.3,0.2,98.9,0,84070,65961,64191,45521,62557,166,474,777,2015,163,85582,11,19879,64191,166,308,303,1238,23,74.2,0.2,0.4,0.4,1.4
E07000120,HYNDBURN,41567,41506,98.5,90.9,90,86.4,89.2,0,0.1,0.2,1.3,0,99.8,36.2,40963,37776,37429,35918,37068,15,43,70,543,7,41489,15058,3534,37429,15,28,27,473,8.5,90,0,0.1,0.1,1.1
S12000018,INVERCLYDE,42309,42256,96.9,76.2,76.2,25.8,76.2,0.1,0.3,0.7,3,0.1,98.5,0,40994,32244,32244,10925,32244,31,143,284,1262,34,41663,0,8750,32244,31,112,141,978,20.7,76.2,0.1,0.3,0.3,2.3
E07000202,IPSWICH,65788,65645,99.1,95.3,94.3,85.5,93.1,0,0.1,0.1,0.7,0,99.2,0,65200,62680,62034,56263,61257,0,46,83,445,0,65287,0,3166,62034,0,46,37,362,4.8,94.3,0,0.1,0.1,0.6
W06000001,ISLE OF ANGLESEY,37937,37846,93.3,30.7,30.6,30.7,30.7,0.7,1.6,2.6,6.5,0.8,97.6,24.7,35388,11648,11622,11648,11648,261,591,999,2458,303,37025,9377,23766,11622,261,330,408,1459,62.6,30.6,0.7,0.9,1.1,3.8
E06000046,ISLE OF WIGHT,78924,78665,95.3,70.9,70.9,70.9,70.9,0.3,0.7,1.1,4.4,0.2,99.4,0,75219,55938,55938,55938,55938,202,525,875,3446,160,78472,0,19281,55938,202,323,350,2571,24.4,70.9,0.3,0.4,0.4,3.3
E06000053,ISLES OF SCILLY,1698,1688,97.2,1.7,1.7,1.7,1.7,0,0,0.1,2.2,0.1,99.4,0,1651,29,29,29,29,0,0,2,37,1,1688,0,1622,29,0,0,2,35,95.5,1.7,0,0,0.1,2.1
E09000019,ISLINGTON,119509,119252,96.9,89.6,89.6,54.6,89.6,0,0,0,2.9,0,96.9,0,115795,107077,107070,65304,107075,0,0,25,3457,7,115800,0,8725,107070,0,0,25,3432,7.3,89.6,0,0,0,2.9
E09000020,KENSINGTON AND CHELSEA,97982,97812,98,93.3,92.4,59.2,91,0,0,0.2,1.8,0,98,0,96039,91378,90559,58029,89165,1,1,233,1773,5,96039,0,5480,90559,1,0,232,1540,5.6,92.4,0,0,0.2,1.6
E07000146,KING'S LYNN AND WEST NORFOLK,79633,79505,94.8,51.4,50.3,49.5,49.7,0.4,0.9,1.4,5,0.4,98.7,0,75510,40899,40077,39454,39609,310,684,1138,3995,308,78601,13,35433,40077,310,374,454,2857,44.5,50.3,0.4,0.5,0.6,3.6
E06000010,"KINGSTON UPON HULL, CITY OF",130311,128576,98.6,98.6,98.6,98.6,98.6,0,0,0,0,0,98.6,17.4,128550,128435,128435,128435,128435,0,0,2,26,6,128550,22611,115,128435,0,0,2,24,0.1,98.6,0,0,0,0
E09000021,KINGSTON UPON THAMES,71553,71416,98.1,91.2,89.5,41.2,87.8,0,0,0.1,1.7,0,98.4,0,70184,65244,64066,29462,62795,0,11,74,1232,1,70425,0,6118,64066,0,11,63,1158,8.6,89.5,0,0,0.1,1.6
E08000034,KIRKLEES,201110,200973,97.9,82.3,82.3,64.9,82.3,0.1,0.3,0.4,2,0,99.2,50.6,196915,165420,165420,130473,165420,127,504,815,4058,17,199487,101663,31495,165420,127,377,311,3243,15.7,82.3,0.1,0.2,0.2,1.6
E08000011,KNOWSLEY,74177,74140,99,92.9,92.9,78.1,92.9,0,0.1,0.2,0.9,0,99.6,0,73469,68918,68918,57918,68918,23,72,128,671,12,73880,0,4551,68918,23,49,56,543,6.1,92.9,0,0.1,0.1,0.7
E09000022,LAMBETH,156379,156137,98.2,89.2,87.5,64.6,85.9,0,0,0,1.6,0,98.3,0,153592,139441,136791,100974,134339,0,0,2,2545,34,153702,0,16801,136791,0,0,2,2543,10.7,87.5,0,0,0,1.6
E07000121,LANCASTER,68604,68554,98.1,84.3,82.4,73.9,81.9,0.2,0.4,0.6,1.8,0.1,99.6,1.9,67315,57835,56529,50720,56157,170,254,389,1239,37,68353,1335,10786,56529,170,84,135,850,15.7,82.4,0.2,0.1,0.2,1.2
E08000035,LEEDS,385549,385109,97.4,92.4,91.9,81.4,91.4,0,0.2,0.3,2.5,0,97.9,14.8,375520,356056,354361,313950,352582,118,650,1193,9589,82,377300,57061,21159,354361,118,532,543,8396,5.5,91.9,0,0.1,0.1,2.2
E06000016,LEICESTER,147346,147257,99.4,96.2,95.9,81.6,95.8,0,0,0,0.6,0,99.4,0,146410,141717,141234,120235,141217,17,27,55,847,31,146459,0,5176,141234,17,10,28,792,3.5,95.9,0,0,0,0.5
E07000063,LEWES,48706,48680,97.9,56.1,56.1,56,56.1,0.1,0.2,0.3,2,0.1,99.8,0,47694,27309,27309,27277,27308,35,99,170,986,27,48603,0,20385,27309,35,64,71,816,41.9,56.1,0.1,0.1,0.1,1.7
E09000023,LEWISHAM,140852,139928,97,82.1,81.6,55.6,81,0,0,0.2,2.3,0,97.1,0,136639,115669,114890,78333,114075,0,0,227,3289,10,136816,0,21749,114890,0,0,227,3062,15.4,81.6,0,0,0.2,2.2
E07000194,LICHFIELD,50505,50466,96.5,79.2,77.7,55.8,76.1,0.2,0.5,1,3.4,0.1,99.6,0,48735,40023,39263,28167,38455,110,275,524,1731,32,50278,0,9472,39263,110,165,249,1207,18.8,77.7,0.2,0.3,0.5,2.4
E07000138,LINCOLN,50441,50250,98.2,85.6,85.4,53.4,85.6,0,0,0.3,1.4,0,98.4,54.8,49556,43157,43097,26927,43157,1,16,142,694,14,49656,27625,6459,43097,1,15,126,552,12.8,85.4,0,0,0.2,1.1
N09000007,LISBURN AND CASTLEREAGH,66492,66328,98.1,93.1,93.1,91.4,93.1,0.1,0.5,0.7,1.7,0.2,99.5,0,65222,61911,61911,60764,61911,69,302,455,1106,127,66189,0,3311,61911,69,233,153,651,5,93.1,0.1,0.4,0.2,1
E08000012,LIVERPOOL,235966,234921,96,87.8,86.4,60.3,85.3,0,0,0.3,3.6,0,96.5,0,226425,207270,203760,142290,201275,29,51,667,8496,43,227595,0,22665,203760,29,22,616,7829,9.6,86.4,0,0,0.3,3.3
E06000032,LUTON,87665,87565,99.4,95.6,94.3,27.6,93.2,0,0.1,0.1,0.5,0,99.6,0,87160,83807,82709,24206,81673,10,93,117,405,3,87278,0,4451,82709,10,83,24,288,5.1,94.3,0,0.1,0,0.3
E07000110,MAIDSTONE,81865,81718,94.5,77.4,74.5,53.6,72.2,0.4,0.7,1.3,5.4,0.3,98.4,28.4,77325,63326,61017,43844,59083,307,612,1064,4393,210,80551,23275,16308,61017,307,305,452,3329,19.9,74.5,0.4,0.4,0.6,4.1
E07000074,MALDON,31241,31162,97.4,72.3,72.3,72.3,72.3,0.1,0.4,0.8,2.3,0.2,99.6,5,30435,22590,22590,22590,22590,40,121,248,727,50,31105,1565,7845,22590,40,81,127,479,25.1,72.3,0.1,0.3,0.4,1.5
E07000235,MALVERN HILLS,39490,39467,93.8,61.7,61.2,60.8,60.8,0.5,1.4,2.4,6.1,0.5,98.6,5.2,37047,24376,24153,23996,23996,183,569,955,2420,195,38955,2073,12894,24153,183,386,386,1465,32.7,61.2,0.5,1,1,3.7
E08000003,MANCHESTER,254415,249769,94.8,84.5,83.1,61.4,82,0,0.2,0.7,3.4,0,95,0,241085,215054,211402,156102,208616,24,494,1814,8684,13,241614,0,29683,211402,24,470,1320,6870,11.7,83.1,0,0.2,0.5,2.7
E07000174,MANSFIELD,54076,54061,98.9,89.7,88.1,20.9,86.9,0,0,0.1,1,0,99.6,0,53507,48529,47627,11304,46998,7,21,56,554,3,53847,0,5880,47627,7,14,35,498,10.9,88.1,0,0,0.1,0.9
E06000035,MEDWAY,124793,124642,97.9,89,87.2,62.9,85,0.1,0.3,0.6,2,0,98.9,2.8,122119,111093,108844,78538,106107,87,427,736,2523,58,123409,3511,13275,108844,87,340,309,1787,10.6,87.2,0.1,0.3,0.2,1.4
E07000133,MELTON,25544,25456,94.4,55.2,54.9,23,54.7,0.7,1.5,2.5,5.3,0.9,97.7,3.7,24102,14092,14012,5886,13972,174,372,642,1354,225,24957,947,10090,14012,174,198,270,712,39.5,54.9,0.7,0.8,1.1,2.8
E07000187,MENDIP,56715,56647,90.7,74.8,73.2,63.6,71.8,0.4,1.4,3.4,9.2,0.3,96.3,12.3,51438,42421,41494,36093,40716,204,782,1931,5209,185,54593,6971,9944,41494,204,578,1149,3278,17.5,73.2,0.4,1,2,5.8
W06000024,MERTHYR TYDFIL,28662,28634,98.9,66.7,66.7,66.7,66.7,0.1,0.2,0.3,1,0,99.7,10.1,28357,19130,19130,19127,19130,21,53,79,277,5,28575,2890,9227,19130,21,32,26,198,32.2,66.7,0.1,0.1,0.1,0.7
E09000024,MERTON,91599,91542,99.2,91.8,91.8,65.1,91.8,0,0,0.1,0.8,0,99.2,0,90837,84109,84096,59666,84076,0,12,82,705,2,90863,0,6741,84096,0,12,70,623,7.4,91.8,0,0,0.1,0.7
