laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Full-fibre take-up (% of full-fibre coverage),Full-fibre take-up (% of all premises)
E08000007,STOCKPORT,80,181.4,1000,6.1,19.1,107,201.9,618,20,19.3,2478.31,1,3.4,15.6,21.2,45.7,221,667,1981,9424,80684,18405,99089,514,352,125,305,513,558.4851309,853,14,7
E06000004,STOCKTON-ON-TEES,125,248.6,1000,5.4,18.8,130.4,285.3,682.9,20,74.3,940,0.8,2.4,14.6,85.4,267,361,1374,2197,6069,46079,17965,64044,494,339,194,367,495,540.8066619,761,19,9
E06000021,STOKE-ON-TRENT,77.6,195.7,1070,5.7,20.1,102.9,220.1,705.7,18.1,69.6,1000,1,3.7,18.7,78.4,325.5,217,826,1659,8460,66143,15957,82100,529,348,158,411,531,564.5779708,854,15,8
E07000221,STRATFORD-ON-AVON,70.3,126.7,1000,5.3,20.4,82.7,145,668.2,18.5,20,1219.49,1.1,3.6,16.6,22.4,70.8,282,541,1023,6032,42432,5053,47485,446,278,102,270,447,488.7098849,893,40,20
E07000082,STROUD,56.1,103.1,1000,5.5,19.4,70,126,560.8,13.1,46.2,1488.45,1,3.2,19.2,57.5,354.1,292,831,1453,7172,32951,4245,37196,439,273,121,285,469,492.3538752,705,35,13
E08000024,SUNDERLAND,67.7,151.4,1000,5.8,20.3,92.7,172.4,639.7,15.5,27.7,971.32,1,3.6,14.8,31.4,128.3,308,958,2115,10469,75681,12907,88588,538,381,151,396,557,575.8074568,762,16,6
E07000214,SURREY HEATH,78.5,186,1000,5.6,20.9,93,202.9,673.6,20,50.2,1219.49,1.1,4.3,15.6,54.8,223,61,190,379,2486,25069,5853,30922,499,362,138,375,503,518.6930219,644,17,9
E09000029,SUTTON,79.7,171.1,1000,6,19.9,102,189.6,619.1,19.8,22.2,1000,1.1,3.5,15.8,24.1,64.9,125,408,1031,5800,51086,10417,61503,483,349,159,353,499,508.7581653,586,6,4
E07000113,SWALE,77.8,151.1,1000,5.6,19.7,90.3,170.4,658.3,20,21.9,500,1,3.3,17.2,24.1,66.2,179,422,912,5185,40201,6599,46800,643,420,156,356,641,719.0454019,1285,34,20
W06000011,SWANSEA,80,164.3,1000,5.8,19.9,104.5,182.8,603.5,19.5,20,3027.24,1,3.3,15.8,21.9,55.2,262,651,1482,7879,69305,12897,82202,505,318,146,350,508,541.5465089,778,27,12
E06000030,SWINDON,115,199.6,1000,5.6,18.5,115.6,224.8,629.1,20,22.9,3323.99,0.9,2.6,17,25.1,55,260,837,1661,7133,57056,15412,72468,624,404,129,315,590,703.4727028,1234,27,23
E08000008,TAMESIDE,74,140,2373.45,6.5,19.7,89,157,638.1,18.3,17.7,811.07,1.2,3.5,15.6,19.5,47.5,139,391,1523,8136,64673,9147,73820,575,415,170,394,592,612.6479727,839,19,9
E07000199,TAMWORTH,79.7,166.4,1000,6.2,19.7,100.4,182.2,629.8,19.3,18.6,115,1,3.7,15.6,20.2,45.3,49,180,489,2080,22591,4129,26720,570,398,140,361,583,600.9068735,751,48,5
E07000215,TANDRIDGE,64.2,136.3,1000,5.8,20.2,83.6,161.2,637,16.2,18.9,846,1.1,3.7,15.7,22,60.8,100,316,665,4585,23239,3792,27031,507,338,143,349,512,557.6689536,912,47,12
E07000045,TEIGNBRIDGE,54.8,109.3,1000,5.5,19.7,81.1,137.4,637.6,10,15.9,300,0.9,3,15.3,19.8,59.9,308,892,1708,8910,35187,3959,39146,426,242,128,269,454,502.8421602,1058,27,11
E06000020,TELFORD AND WREKIN,79.1,156.8,1000,5.9,19.4,99.3,176,619.6,18.9,18.5,591.11,1,3.1,15.7,20.6,48.7,221,597,1519,6158,53232,9199,62431,572,380,105,328,581,622.8411029,957,54,9
E07000076,TENDRING,51.8,78.1,1000,5.5,20.8,62.4,92,636.8,11.9,20.1,1000,1.1,3.8,15.1,23.7,183,274,765,1354,8285,44366,2411,46777,493,280,132,339,521,542.1568923,1076,23,10
E07000093,TEST VALLEY,73.7,142.6,1000,5.6,20,90.3,165.1,628.7,17.7,20.1,900,0.9,3.4,15.9,23.1,67.9,216,642,1252,5495,36843,5948,42791,492,322,134,295,501,542.0125003,905,59,15
E07000083,TEWKESBURY,77.4,174.3,1000,5.5,18.4,103.7,219.6,582.8,19.3,56.3,1000,0.9,2.1,22,71.6,226.8,233,700,1227,6372,22707,7250,29957,456,300,117,284,489,526.3105388,676,39,18
E07000114,THANET,62.1,118.2,1000,6,20.1,77.1,135.2,656.4,17,18.2,1815.4,1.1,3.5,15.9,20.4,61.1,122,354,947,6232,40617,4535,45152,556,337,156,347,584,626.723962,1114,29,19
E07000102,THREE RIVERS,80,207.5,1000,5.3,20.5,109.5,228.3,634.7,20,23.3,900,1,4.2,16.6,24.8,53.1,115,286,487,2426,23571,6894,30465,575,389,129,346,563,636.1989927,959,25,18
E06000034,THURROCK,80,191.4,1000,5.2,20,105.1,214.8,639,20,23.4,940,1,3.6,16.4,25.5,60.6,238,672,1009,5217,42463,10980,53443,680,477,178,460,664,744.5990745,1168,27,17
E07000115,TONBRIDGE AND MALLING,73.9,157.5,1000,5.8,19.9,90.4,181.5,585.2,19.6,24.6,1000,0.9,3.5,16.5,28,79,173,465,1104,5291,33846,7637,41483,536,361,135,353,550,591.130094,884,34,16
E06000027,TORBAY,76.3,159.8,1000,6.3,19.5,100.3,191.9,626.4,17.9,19.8,220,1.1,2.7,16.2,23.4,57.1,110,293,974,8367,35628,7517,43145,508,270,114,262,528,603.4428549,1056,27,20
W06000020,TORFAEN,61.9,109.4,1000,6,20.5,79.9,123.5,615.8,15.4,16.5,1219.49,1.1,4.2,15.6,18.4,50.4,97,305,824,3403,28064,2483,30547,561,386,155,412,584,597.5441274,815,40,8
E07000046,TORRIDGE,50.5,71.1,1000,4.8,19.4,64.8,90.8,697.1,10,14.5,1074.19,1.2,2.9,15.5,18.6,92.7,410,973,1188,3922,18175,778,18953,384,204,113,272,433,448.4297225,852,20,9
E09000030,TOWER HAMLETS,79.8,200,10000,6.3,17.9,96.7,227.6,695,20,34.8,10000,0.9,2.2,14.7,27.2,71.8,320,852,3082,10165,75729,21211,96940,557,425,214,383,606,612.9453563,718,46,31
E08000009,TRAFFORD,78.2,159.4,1000,5.8,19.5,96.8,176.4,632.6,19.7,19.5,1000,1,3.5,15.8,21.3,52.8,254,521,1335,7065,65724,11470,77194,513,376,123,341,523,542.071705,719,10,4
E07000116,TUNBRIDGE WELLS,76.1,141.7,1000,5.8,19.9,87.2,162.4,596.7,20,22.6,2000,1,3.4,16.8,25.4,75.1,136,401,907,4629,31356,5427,36783,517,331,127,308,516,573.9471,1041,29,18
E07000077,UTTLESFORD,67,137.4,1000,5.5,19.7,79.9,164.4,543.6,18.2,60.4,1000,1,3.2,20.9,73,306.3,195,498,954,4737,23380,5216,28596,472,328,124,304,495,527.6296927,684,45,21
W06000014,VALE OF GLAMORGAN,80,171,1000,5.6,19.7,98.4,187.6,636.5,20,28.6,940,0.9,3.3,17,30.8,100.5,161,378,804,3607,38810,7705,46515,555,347,125,289,539,612.4532296,1104,34,25
E07000180,VALE OF WHITE HORSE,74.1,146.2,1000,5.5,20.4,88.2,164,590.3,18.5,37,1000,1,3.7,18.1,41.5,172.6,157,434,850,5106,40331,7175,47506,459,311,113,297,463,488.1931414,657,46,17
E08000036,WAKEFIELD,71,146.6,2000,5.8,20.3,89.1,168.9,657,18,27.9,2000,1,3.6,15.8,31.8,129.2,407,1239,2752,14746,95528,15625,111153,562,375,145,343,570,624.9285225,1109,26,18
E08000030,WALSALL,79.7,159.7,1000,6.2,19.6,100.6,178.2,614.8,18.9,18.4,900,1,3.5,15.5,20.3,47,161,621,1834,7990,70152,12465,82617,589,416,178,382,601,631.4410314,869,21,8
E09000031,WALTHAM FOREST,80,183.6,1000,6.6,17.6,116.2,207.6,602.9,20,21.8,1000,1,2.6,16.2,24.1,58.3,210,499,2253,7661,60956,14090,75046,584,433,223,397,587,628.5717745,880,16,10
E09000032,WANDSWORTH,80,181.6,3000,6.2,18.4,101,196.6,650,20,44.3,3000,1,2.8,21.1,43.9,152.1,216,536,1699,7689,92413,19505,111918,512,391,139,315,521,545.8804533,782,28,19
E06000007,WARRINGTON,79.7,175.5,1000,5.7,20.3,101.2,193.8,643.4,20,19.7,2524.97,0.9,4.1,15.8,21.5,48.9,281,582,1345,6167,60246,12411,72657,540,347,125,312,523,594.1019215,1109,32,9
E07000222,WARWICK,79.7,160.2,10000,5.5,20.3,99.4,174.5,626.5,20,20.7,10000,1,3.9,16.6,22.2,56.1,168,441,793,3755,44606,7404,52010,484,340,106,267,479,520.3368825,868,42,10
E07000103,WATFORD,125,200.9,1000,6.1,19.3,114.3,215.2,621.8,20,22.2,900,1,3.7,16.7,23,48.7,67,171,536,1767,26426,6553,32979,589,428,118,355,570,631.9322238,962,20,14
E07000216,WAVERLEY,60,112.9,1000,5.7,20.8,73,131.7,691.8,15.4,31.7,1000,1.1,4,17.6,36.9,221,144,452,916,6405,36231,3797,40028,454,308,123,310,471,496.7340378,861,29,15
E07000065,WEALDEN,56.3,139.2,10000,5.8,20.4,68.3,164.4,1070.7,15.2,60.5,10000,1.2,3.6,15.9,71.7,598.1,207,516,1206,8666,46022,4881,50903,458,282,118,290,486,510.9014782,878,34,18
E07000241,WELWYN HATFIELD,79.7,174.6,1000,5.8,19.8,103.7,195.1,618.8,20,19.9,1404.57,1,4.1,16.1,21.8,48.3,134,360,864,3461,30565,6597,37162,561,401,158,345,576,611.1781878,841,36,9
E06000037,WEST BERKSHIRE,76.3,158.3,1000,5.4,19.6,89.9,185.1,548.3,20,58.6,4116.71,0.9,3,22.4,68.5,244.5,329,822,1447,6991,40471,10598,51069,504,329,118,290,507,559.440949,785,33,21
E07000047,WEST DEVON,52.6,90.8,1000,5,19,74.3,121.9,690.4,10,16.2,220,0.8,2.6,16.4,21.7,85.1,322,812,1118,3729,13660,1144,14804,403,204,115,250,445,493.0445943,1063,46,18
S12000039,WEST DUNBARTONSHIRE,125,203.9,1000,6.5,18.4,120.6,223.9,609.3,20,19.5,1219.49,1,2.9,15.6,21.2,42.5,71,209,800,2555,27094,7260,34354,534,352,191,359,526,563.3751708,771,45,4
E07000127,WEST LANCASHIRE,62,119.6,1000,5.5,20.1,78.8,138.6,680.7,17,19.9,243.36,1,3.4,16.7,22.7,77.3,169,533,927,4972,32205,3556,35761,576,359,130,346,586,647.4041145,1243,49,24
E07000142,WEST LINDSEY,56.9,102.7,1000,4.9,20.1,77.6,124.9,651.7,11.9,15.7,502.67,0.9,3.6,15.4,18.9,58.5,311,720,923,5220,25760,2313,28073,442,271,130,299,479,496.0644172,758,36,11
S12000040,WEST LOTHIAN,80,183.9,1943.36,6,20.1,101.9,208.1,650.3,20,22.4,1772.23,1,3.2,16.6,24.8,58.8,218,615,1642,6727,51357,12344,63701,690,419,118,396,633,779.9907755,1578,42,23
E06000062,WEST NORTHAMPTONSHIRE,79.7,164,10000,5.7,19.7,96.9,183.5,588,20,39.5,10000,1,3.3,19.2,43.5,156.9,511,1342,2919,12754,109727,23495,133222,564,377,130,311,550,619.3845784,995,25,21
E07000181,WEST OXFORDSHIRE,71.6,150.4,1000,5.6,20,84.5,171.9,538,19.6,67,2721.58,1,3.9,22.8,76.9,303.9,177,478,926,4837,32270,7699,39969,440,286,115,269,439,476.1786749,650,28,21
E07000245,WEST SUFFOLK,63.7,115,1000,5.5,20.3,76.7,132.3,662.9,16.4,20,1000,1.1,3.7,15.9,22.4,84.1,281,583,1109,8379,52977,5555,58532,525,330,123,344,526,584.5237104,1229,35,19
E09000033,WESTMINSTER,73.3,158.2,10000,6.4,18.7,82.2,200.6,735.8,20,63.7,10000,0.8,1.7,20.8,72.1,303.8,479,756,3341,18957,64362,14245,78607,394,260,94,237,463,465.4832886,566,22,16
E08000010,WIGAN,80,180,1000,6,19.9,107.6,202.6,616.9,19.1,18.9,1219.49,1,3.4,15.4,21,45.6,253,845,2319,11706,89011,20394,109405,523,346,157,385,522,558.3522489,790,24,7
E06000054,WILTSHIRE,69.3,133.3,10000,5.6,20.1,84.6,154.9,622.6,16.8,26.9,10000,1,3.3,16.8,31.1,126.3,797,1943,3950,23296,140624,21118,161742,478,298,117,291,485,529.5859684,895,40,17
E07000094,WINCHESTER,64.2,119.3,10000,5,20.1,83.5,143.4,614.4,13.6,17.6,10000,0.9,3.4,15.7,21.1,63.5,492,688,1222,6700,34537,4392,38929,448,296,114,310,471,499.8569122,813,46,10
E06000040,WINDSOR AND MAIDENHEAD,67.3,131.5,1000,5.7,20.1,82.9,153.3,578.3,16.5,26.5,1219.49,1,3.7,16.2,30.6,117.5,180,582,1239,6898,40066,6636,46702,500,359,151,349,522,539.3509788,702,20,8
E08000015,WIRRAL,80,182.7,1000,6.3,19.4,101.6,204.1,640.1,20,22.9,2299.53,1,3.1,16.4,24.6,59.4,187,592,1908,11239,87562,20572,108134,613,362,127,297,604,701.1516531,1205,33,26
E07000217,WOKING,79.9,177.2,1000,6,20,105.5,195.6,608,20,19,1219.49,1,4,15.8,20.7,43.1,71,266,649,2910,27872,6090,33962,517,378,127,353,516,546.8847821,749,26,3
E06000041,WOKINGHAM,77.6,165.4,1000,5.8,19.9,95.4,186.3,617,19.7,29.8,1000,1,3.4,17.1,33.5,111,160,458,1025,6429,47441,10004,57445,534,399,134,329,541,574.3685065,792,40,13
E08000031,WOLVERHAMPTON,79.8,169.2,1000,6.4,19.8,108,189.2,603,17,17.4,115,1.1,3.6,14.5,18.8,41.1,147,440,1550,8050,64854,12728,77582,602,413,183,417,595,646.1094575,1014,10,6
E07000237,WORCESTER,68.6,100.4,2625.31,5.8,20.4,74.3,110.2,695.3,19,19.2,3159.15,1,4.3,16.4,20.2,82.3,112,364,759,2571,31235,1915,33150,596,380,138,333,566,650.6762955,2024,25,18
E07000229,WORTHING,80,188.7,1000,6.5,19.1,111.3,205.5,609.6,20,21.4,300,1.1,3.3,16,22.5,50.6,50,136,575,3003,31217,7277,38494,586,319,116,284,520,660.0069815,1425,23,21
W06000006,WREXHAM,59.5,111.9,1000,5.6,20.4,74.7,128.2,669.8,15.7,17.4,1219.49,1,3.8,15.6,19.7,62,202,514,1098,5305,37864,3736,41600,552,366,128,367,574,598.4142433,932,31,17
E07000238,WYCHAVON,60,93.8,1000,5.4,20.1,71,108.5,697.5,15.2,21.6,4185.39,1,3.9,16.4,25,160.6,223,585,1035,6173,39618,2520,42138,482,289,121,289,491,528.9185922,1258,26,13
E07000128,WYRE,63.2,125,1000,5.9,20,77.8,145.2,728.3,18.5,29.3,1000,1.1,3.3,16.7,33.2,175.2,118,356,830,5505,32552,3762,36314,544,286,123,278,545,648.9981236,1549,45,28
E07000239,WYRE FOREST,59.9,119.4,1000,5.8,20,80.9,137.2,627.7,14.8,19.1,1238.89,1,3.9,15.2,21.8,79.4,107,491,993,4086,29567,3397,32964,480,305,134,322,505,518.7597533,709,16,4
E06000014,YORK,65.7,174.8,1000,6,19.7,90.2,209.8,732.2,12.3,15.4,811.07,0.9,3,15.3,16.8,23.1,255,737,2006,10231,48655,11139,59794,437,282,142,300,468,483.1758518,565,22,14
