laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Full-fibre take-up (% of full-fibre coverage),Full-fibre take-up (% of all premises)
E07000089,HART,75.7,160,1000,5.9,20.4,93.8,186.1,634.9,17.5,21.2,2000,0.8,3.2,15.6,24.4,67.5,298,490,1442,3883,28087,5778,33865,476,341,85,316,495,515.5338609,660,37,12
E06000001,HARTLEPOOL,125,199,1000,5.3,19.4,122.1,218.9,596,19.7,18.8,300,0.9,2.8,14.8,20.5,42.5,133,336,578,2302,24693,6337,31030,571,392,163,369,551,610.3640965,936,23,4
E07000062,HASTINGS,50.2,75.1,10000,6,20.5,59.5,87.9,975.1,12.3,23.6,10000,1.3,4.3,15.1,27.9,427.8,109,335,759,4949,26534,850,27384,564,362,165,430,593,606.7845286,1136,17,6
E07000090,HAVANT,73.2,170.8,1000,6.1,20.6,100.6,193,607.2,16.4,17.6,115,1.1,4,14.5,19.6,42.5,91,285,844,4921,34647,7728,42375,498,318,125,362,503,528.5550438,700,20,3
E09000016,HAVERING,76.9,173,1000,6.1,19.5,98.6,193.9,633.8,19,18.3,1000,1.1,3.8,15.2,19.8,41.3,225,634,1758,8154,66523,14412,80935,565,423,168,385,585,602.4538564,736,21,5
E06000019,"HEREFORDSHIRE, COUNTY OF",59.8,103.5,2000,4.9,19.4,74.5,126.9,617.2,16.1,40.9,2000,0.9,2.8,22.7,50.9,314.3,787,1895,2401,9590,50454,5397,55851,411,239,108,252,450,468.5146625,673,26,18
E07000098,HERTSMERE,79,170.4,2076.46,6,19.8,99,189.3,622.6,20,18.9,619.75,1.1,4,15.6,20.4,43.3,86,282,693,3240,29084,6059,35143,544,394,148,355,551,577.8981741,767,40,6
E07000037,HIGH PEAK,50.4,64,1000,5.7,20.5,62.9,76.7,691.3,10,14.8,1000,1,3.4,15,18,151.9,131,378,777,6302,26806,605,27411,479,315,139,335,522,527.3952049,785,39,5
S12000017,HIGHLAND,41.6,65.9,1000,5.1,20.1,63.7,88.2,675.5,10,12.3,300,0.8,3,14,16.3,71.1,1305,2917,4291,20492,62654,2614,65268,457,238,118,294,486,573.3966875,2680,37,13
E09000017,HILLINGDON,80,182.8,1000,5.8,18.9,107,201.2,624.9,20,21,1000,0.9,3.2,16.3,22.4,50.1,286,766,1923,6786,72855,16197,89052,613,449,148,358,633,676.6257217,958,28,13
E07000132,HINCKLEY AND BOSWORTH,75.3,144.2,1000,5.8,20.8,93.5,161.5,608.3,16.5,17.6,500,1.1,3.8,15.2,19.5,47.8,113,289,662,4255,33561,5112,38673,500,323,121,306,489,537.2913227,997,30,7
E07000227,HORSHAM,64.2,119.8,1000,5.5,20.5,75.2,139.2,690,17.5,34.8,1000,1,3.7,17.7,40.5,236.9,247,597,1172,6932,42316,4919,47235,482,314,123,299,490,534.4133775,1070,37,20
E09000018,HOUNSLOW,80,181.2,2841.64,6,18.6,105.5,196.7,625.2,20,20.5,1000,0.9,3.4,15.6,20.9,45.6,194,718,1749,4964,67696,14415,82111,583,452,158,372,592,615.5278122,790,26,10
E07000011,HUNTINGDONSHIRE,73.7,141.6,1677.17,5.5,20.7,88.4,157.8,616.6,18.2,20.7,3654.81,1,4.4,15.9,22.8,68.3,215,486,934,6535,54235,8215,62450,513,341,137,335,500,550.1219716,986,26,11
E07000120,HYNDBURN,76.3,141,1000,5.8,19.9,94.7,155.7,603.6,17.1,17.2,115,1.1,3.7,15.4,18.8,44,78,203,483,2235,22352,3045,25397,545,373,135,340,546,579.2510868,961,7,6
S12000018,INVERCLYDE,79.8,175,1000,5.9,19.8,109.3,198.4,599,16.6,17.6,1219.49,1,3.2,14.7,19.8,42.6,87,189,487,3292,22386,4980,27366,503,342,156,374,508,533.0008151,690,26,5
E07000202,IPSWICH,78,166.1,1049,6,20,102.4,185.5,603.5,19,18.8,220,1,3.4,15.2,20.2,45.6,105,349,879,4367,36788,7307,44095,616,377,149,364,573,682.299904,1438,11,9
W06000001,ISLE OF ANGLESEY,54.8,85.7,1000,5.1,20.2,69.2,103.8,680.4,11.5,16.1,220,0.9,3.2,15.6,19.6,85.2,216,545,771,4354,21270,1279,22549,444,249,112,290,470,495.8796431,930,61,15
E06000046,ISLE OF WIGHT,60,100.7,1767.25,5.9,19.9,68.4,118.8,469.9,17.1,66.5,934.05,1,3.1,29.6,80.2,432.5,177,426,1122,8203,39980,5735,45715,411,216,119,277,448,460.234094,1461,30,20
E06000053,ISLES OF SCILLY,54.8,54.7,1000,6.3,21.5,61.5,65.1,552.9,14.3,13.4,115,1.1,4.5,15.8,16.2,72.1,5,21,70,159,951,7,958,357,197,126,303,380,386.4069449,1648,68,1
E09000019,ISLINGTON,80,170.7,1000,6.5,17.4,111.3,199.4,602.1,20,24.4,1000,0.9,2,15.6,27,79.1,218,570,2254,10009,58132,12720,70852,498,360,185,368,525,537.0055165,637,14,7
E09000020,KENSINGTON AND CHELSEA,79.8,179.7,10000,6.1,17.6,104.8,203.6,631.5,20,27.5,10000,1,2.3,17.3,29.5,82.5,266,611,1862,5742,47764,11026,58790,360,239,121,229,380,387.8482215,451,11,6
E07000146,KING'S LYNN AND WEST NORFOLK,54.8,90.6,1000,5.3,20.4,68.7,108.6,735,11.4,24.5,940,1,3.5,15.6,29.3,244.1,333,868,1394,9027,44624,2845,47469,470,255,137,306,480,533.5611656,1580,30,13
E06000010,"KINGSTON UPON HULL, CITY OF",150,193.5,1000,6,22.6,150.5,227.2,430.3,75,87.5,775,0.9,7.5,70.9,103.2,188.6,115,594,1456,12332,54160,20472,74632,276,153,48,113,244,307.7703814,477,65,63
E09000021,KINGSTON UPON THAMES,80,180.3,1000,6.4,19,108.4,197.9,610.1,20,19.6,2063.31,1,3.2,16,21,44.1,109,231,982,4405,43883,9534,53417,489,353,138,327,502,514.2803185,602,13,3
E08000034,KIRKLEES,75.2,150.8,1628.51,5.6,20.1,99.6,173.5,610.2,16.2,17.4,723.43,1,3.6,14.9,19.4,45.8,488,1614,3100,15990,107543,18203,125746,501,325,148,347,514,548.8229026,841,19,12
E08000011,KNOWSLEY,115,203.3,1000,5.5,19.9,109.8,221.2,634.9,20,22.2,220,1,3.8,15.9,23.5,51.8,123,408,757,3822,42063,11320,53383,692,476,188,420,661,760.829308,1255,24,17
E09000022,LAMBETH,77.3,152.9,1000,6.3,18.5,96.3,172.4,630.4,19.8,23.7,1000,1.1,2.8,15.9,24.8,78.5,217,470,1771,11357,82801,13763,96564,539,402,206,392,551,572.5155149,818,17,10
E07000121,LANCASTER,67,190.6,10000,5.8,20.2,80.6,217.2,837,19,99.9,10000,1,3.7,16.1,113.6,556.2,169,370,929,5305,36135,7963,44098,516,302,117,298,521,564.9589242,796,26,18
E08000035,LEEDS,80,181.6,3458.63,5.9,19.5,109.6,202,625.2,20,21.4,1835.01,0.9,2.9,16.1,22.6,52.8,734,2135,5317,23042,207492,45290,252782,595,381,135,310,588,667.2913367,1127,27,22
