medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type
Gold Medal,1,2024-07-27,Remco EVENEPOEL,BEL,M,Cycling Road,Men's Individual Time Trial,ATH
Silver Medal,2,2024-07-27,Filippo GANNA,ITA,M,Cycling Road,Men's Individual Time Trial,ATH
Bronze Medal,3,2024-07-27,Wout van AERT,BEL,M,Cycling Road,Men's Individual Time Trial,ATH
Gold Medal,1,2024-07-27,Grace BROWN,AUS,W,Cycling Road,Women's Individual Time Trial,ATH
Silver Medal,2,2024-07-27,Anna HENDERSON,GBR,W,Cycling Road,Women's Individual Time Trial,ATH
Bronze Medal,3,2024-07-27,Chloe DYGERT,USA,W,Cycling Road,Women's Individual Time Trial,ATH
Gold Medal,1,2024-07-27,China,CHN,W,Diving,Women's Synchronised 3m Springboard,TEAM
Silver Medal,2,2024-07-27,United States,USA,W,Diving,Women's Synchronised 3m Springboard,TEAM
Bronze Medal,3,2024-07-27,Great Britain,GBR,W,Diving,Women's Synchronised 3m Springboard,TEAM
Gold Medal,1,2024-07-27,OH Sanguk,KOR,M,Fencing,Men's Sabre Individual,HATH
Silver Medal,2,2024-07-27,Fares FERJANI,TUN,M,Fencing,Men's Sabre Individual,HATH
Bronze Medal,3,2024-07-27,Luigi SAMELE,ITA,M,Fencing,Men's Sabre Individual,HATH
Gold Medal,1,2024-07-27,KONG Man Wai Vivian,HKG,W,Fencing,Women's Épée Individual,HATH
Silver Medal,2,2024-07-27,Auriane MALLO-BRETON,FRA,W,Fencing,Women's Épée Individual,HATH
Bronze Medal,3,2024-07-27,Eszter MUHARI,HUN,W,Fencing,Women's Épée Individual,HATH
Gold Medal,1,2024-07-27,Yeldos SMETOV,KAZ,M,Judo,Men -60 kg,HATH
Silver Medal,2,2024-07-27,Luka MKHEIDZE,FRA,M,Judo,Men -60 kg,HATH
Bronze Medal,3,2024-07-27,NAGAYAMA Ryuju,JPN,M,Judo,Men -60 kg,HATH
Bronze Medal,3,2024-07-27,Francisco GARRIGOS,ESP,M,Judo,Men -60 kg,HATH
Gold Medal,1,2024-07-27,TSUNODA Natsumi,JPN,W,Judo,Women -48 kg,HATH
Silver Medal,2,2024-07-27,Baasankhuu BAVUUDORJ,MGL,W,Judo,Women -48 kg,HATH
Bronze Medal,3,2024-07-27,Shirine BOUKLI,FRA,W,Judo,Women -48 kg,HATH
Bronze Medal,3,2024-07-27,Tara BABULFATH,SWE,W,Judo,Women -48 kg,HATH
Gold Medal,1,2024-07-27,France,FRA,M,Rugby Sevens,Men,HTEAM
Silver Medal,2,2024-07-27,Fiji,FIJ,M,Rugby Sevens,Men,HTEAM
Bronze Medal,3,2024-07-27,South Africa,RSA,M,Rugby Sevens,Men,HTEAM
Gold Medal,1,2024-07-27,China 1,CHN,X,Shooting,10m Air Rifle Mixed Team,HTEAM
Silver Medal,2,2024-07-27,Korea 1,KOR,X,Shooting,10m Air Rifle Mixed Team,HTEAM
Bronze Medal,3,2024-07-27,Kazakhstan 1,KAZ,X,Shooting,10m Air Rifle Mixed Team,HTEAM
Gold Medal,1,2024-07-27,United States,USA,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM
Silver Medal,2,2024-07-27,Australia,AUS,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM
Bronze Medal,3,2024-07-27,Italy,ITA,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM
Gold Medal,1,2024-07-27,Lukas MAERTENS,GER,M,Swimming,Men's 400m Freestyle,ATH
Silver Medal,2,2024-07-27,Elijah WINNINGTON,AUS,M,Swimming,Men's 400m Freestyle,ATH
Bronze Medal,3,2024-07-27,KIM Woomin,KOR,M,Swimming,Men's 400m Freestyle,ATH
Gold Medal,1,2024-07-27,Australia,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM
Silver Medal,2,2024-07-27,United States,USA,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM
Bronze Medal,3,2024-07-27,China,CHN,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM
Gold Medal,1,2024-07-27,Ariarne TITMUS,AUS,W,Swimming,Women's 400m Freestyle,ATH
Silver Medal,2,2024-07-27,Summer McINTOSH,CAN,W,Swimming,Women's 400m Freestyle,ATH
Bronze Medal,3,2024-07-27,Katie LEDECKY,USA,W,Swimming,Women's 400m Freestyle,ATH
Gold Medal,1,2024-07-28,Korea,KOR,W,Archery,Women's Team,HTEAM
Silver Medal,2,2024-07-28,China,CHN,W,Archery,Women's Team,HTEAM
Bronze Medal,3,2024-07-28,Mexico,MEX,W,Archery,Women's Team,HTEAM
Gold Medal,1,2024-07-28,Jessica FOX,AUS,W,Canoe Slalom,Women's Kayak Single,ATH
Silver Medal,2,2024-07-28,Klaudia ZWOLINSKA,POL,W,Canoe Slalom,Women's Kayak Single,ATH
Bronze Medal,3,2024-07-28,Kimberley WOODS,GBR,W,Canoe Slalom,Women's Kayak Single,ATH
Gold Medal,1,2024-07-28,Pauline FERRAND PREVOT,FRA,W,Cycling Mountain Bike,Women's Cross-country,ATH
Silver Medal,2,2024-07-28,Haley BATTEN,USA,W,Cycling Mountain Bike,Women's Cross-country,ATH
Bronze Medal,3,2024-07-28,Jenny RISSVEDS,SWE,W,Cycling Mountain Bike,Women's Cross-country,ATH
Gold Medal,1,2024-07-28,KANO Koki,JPN,M,Fencing,Men's Épée Individual,HATH
Silver Medal,2,2024-07-28,Yannick BOREL,FRA,M,Fencing,Men's Épée Individual,HATH
Bronze Medal,3,2024-07-28,Mohamed ELSAYED,EGY,M,Fencing,Men's Épée Individual,HATH
Gold Medal,1,2024-07-28,Lee KIEFER,USA,W,Fencing,Women's Foil Individual,HATH
Silver Medal,2,2024-07-28,Lauren SCRUGGS,USA,W,Fencing,Women's Foil Individual,HATH
Bronze Medal,3,2024-07-28,Eleanor HARVEY,CAN,W,Fencing,Women's Foil Individual,HATH
Gold Medal,1,2024-07-28,ABE Hifumi,JPN,M,Judo,Men -66 kg,HATH
Silver Medal,2,2024-07-28,Willian LIMA,BRA,M,Judo,Men -66 kg,HATH
Bronze Medal,3,2024-07-28,Gusman KYRGYZBAYEV,KAZ,M,Judo,Men -66 kg,HATH
Bronze Medal,3,2024-07-28,Denis VIERU,MDA,M,Judo,Men -66 kg,HATH
Gold Medal,1,2024-07-28,Diyora KELDIYOROVA,UZB,W,Judo,Women -52 kg,HATH
Silver Medal,2,2024-07-28,Distria KRASNIQI,KOS,W,Judo,Women -52 kg,HATH
Bronze Medal,3,2024-07-28,Larissa PIMENTA,BRA,W,Judo,Women -52 kg,HATH
Bronze Medal,3,2024-07-28,Amandine BUCHARD,FRA,W,Judo,Women -52 kg,HATH
Gold Medal,1,2024-07-28,XIE Yu,CHN,M,Shooting,10m Air Pistol Men,ATH
Silver Medal,2,2024-07-28,Federico Nilo MALDINI,ITA,M,Shooting,10m Air Pistol Men,ATH
Bronze Medal,3,2024-07-28,Paolo MONNA,ITA,M,Shooting,10m Air Pistol Men,ATH
Gold Medal,1,2024-07-28,OH Ye Jin,KOR,W,Shooting,10m Air Pistol Women,ATH
Silver Medal,2,2024-07-28,KIM Yeji,KOR,W,Shooting,10m Air Pistol Women,ATH
Bronze Medal,3,2024-07-28,Manu BHAKER,IND,W,Shooting,10m Air Pistol Women,ATH
Gold Medal,1,2024-07-28,YOSHIZAWA Coco,JPN,W,Skateboarding,Women's Street,ATH
Silver Medal,2,2024-07-28,AKAMA Liz,JPN,W,Skateboarding,Women's Street,ATH
Bronze Medal,3,2024-07-28,Rayssa LEAL,BRA,W,Skateboarding,Women's Street,ATH
Gold Medal,1,2024-07-28,Nicolo MARTINENGHI,ITA,M,Swimming,Men's 100m Breaststroke,ATH
Silver Medal,2,2024-07-28,Adam PEATY,GBR,M,Swimming,Men's 100m Breaststroke,ATH
Silver Medal,2,2024-07-28,Nic FINK,USA,M,Swimming,Men's 100m Breaststroke,ATH
Gold Medal,1,2024-07-28,Leon MARCHAND,FRA,M,Swimming,Men's 400m Individual Medley,ATH
Silver Medal,2,2024-07-28,MATSUSHITA Tomoyuki,JPN,M,Swimming,Men's 400m Individual Medley,ATH
Bronze Medal,3,2024-07-28,Carson FOSTER,USA,M,Swimming,Men's 400m Individual Medley,ATH
Gold Medal,1,2024-07-28,Torri HUSKE,USA,W,Swimming,Women's 100m Butterfly,ATH
Silver Medal,2,2024-07-28,Gretchen WALSH,USA,W,Swimming,Women's 100m Butterfly,ATH
Bronze Medal,3,2024-07-28,ZHANG Yufei,CHN,W,Swimming,Women's 100m Butterfly,ATH
Gold Medal,1,2024-07-29,Korea,KOR,M,Archery,Men's Team,HTEAM
Silver Medal,2,2024-07-29,France,FRA,M,Archery,Men's Team,HTEAM
Bronze Medal,3,2024-07-29,Türkiye,TUR,M,Archery,Men's Team,HTEAM
Gold Medal,1,2024-07-29,Japan,JPN,M,Artistic Gymnastics,Men's Team,TEAM
Silver Medal,2,2024-07-29,China,CHN,M,Artistic Gymnastics,Men's Team,TEAM
Bronze Medal,3,2024-07-29,United States,USA,M,Artistic Gymnastics,Men's Team,TEAM
Gold Medal,1,2024-07-29,Nicolas GESTIN,FRA,M,Canoe Slalom,Men's Canoe Single,ATH
Silver Medal,2,2024-07-29,Adam BURGESS,GBR,M,Canoe Slalom,Men's Canoe Single,ATH
Bronze Medal,3,2024-07-29,Matej BENUS,SVK,M,Canoe Slalom,Men's Canoe Single,ATH
Gold Medal,1,2024-07-29,Thomas PIDCOCK,GBR,M,Cycling Mountain Bike,Men's Cross-country,ATH
Silver Medal,2,2024-07-29,Victor KORETZKY,FRA,M,Cycling Mountain Bike,Men's Cross-country,ATH
Bronze Medal,3,2024-07-29,Alan HATHERLY,RSA,M,Cycling Mountain Bike,Men's Cross-country,ATH
Gold Medal,1,2024-07-29,China,CHN,M,Diving,Men's Synchronised 10m Platform,TEAM
Silver Medal,2,2024-07-29,Great Britain,GBR,M,Diving,Men's Synchronised 10m Platform,TEAM
Bronze Medal,3,2024-07-29,Canada,CAN,M,Diving,Men's Synchronised 10m Platform,TEAM
Gold Medal,1,2024-07-29,Michael JUNG,GER,O,Equestrian,Eventing Individual,ATH
Silver Medal,2,2024-07-29,Christopher BURTON,AUS,O,Equestrian,Eventing Individual,ATH
Bronze Medal,3,2024-07-29,Laura COLLETT,GBR,O,Equestrian,Eventing Individual,ATH
Gold Medal,1,2024-07-29,Great Britain,GBR,O,Equestrian,Eventing Team,TEAM
Silver Medal,2,2024-07-29,France,FRA,O,Equestrian,Eventing Team,TEAM
Bronze Medal,3,2024-07-29,Japan,JPN,O,Equestrian,Eventing Team,TEAM
Gold Medal,1,2024-07-29,CHEUNG Ka Long,HKG,M,Fencing,Men's Foil Individual,HATH
Silver Medal,2,2024-07-29,Filippo MACCHI,ITA,M,Fencing,Men's Foil Individual,HATH
Bronze Medal,3,2024-07-29,Nick ITKIN,USA,M,Fencing,Men's Foil Individual,HATH
Gold Medal,1,2024-07-29,Manon APITHY-BRUNET,FRA,W,Fencing,Women's Sabre Individual,HATH
Silver Medal,2,2024-07-29,Sara BALZER,FRA,W,Fencing,Women's Sabre Individual,HATH
Bronze Medal,3,2024-07-29,Olga KHARLAN,UKR,W,Fencing,Women's Sabre Individual,HATH
Gold Medal,1,2024-07-29,Hidayat HEYDAROV,AZE,M,Judo,Men -73 kg,HATH
Silver Medal,2,2024-07-29,Joan-Benjamin GABA,FRA,M,Judo,Men -73 kg,HATH
Bronze Medal,3,2024-07-29,Adil OSMANOV,MDA,M,Judo,Men -73 kg,HATH
Bronze Medal,3,2024-07-29,HASHIMOTO Soichi,JPN,M,Judo,Men -73 kg,HATH
Gold Medal,1,2024-07-29,Christa DEGUCHI,CAN,W,Judo,Women -57 kg,HATH
Silver Medal,2,2024-07-29,HUH Mimi,KOR,W,Judo,Women -57 kg,HATH
Bronze Medal,3,2024-07-29,FUNAKUBO Haruka,JPN,W,Judo,Women -57 kg,HATH
Bronze Medal,3,2024-07-29,Sarah Leonie CYSIQUE,FRA,W,Judo,Women -57 kg,HATH
Gold Medal,1,2024-07-29,SHENG Lihao,CHN,M,Shooting,10m Air Rifle Men,ATH
Silver Medal,2,2024-07-29,Victor LINDGREN,SWE,M,Shooting,10m Air Rifle Men,ATH
Bronze Medal,3,2024-07-29,Miran MARICIC,CRO,M,Shooting,10m Air Rifle Men,ATH
Gold Medal,1,2024-07-29,BAN Hyojin,KOR,W,Shooting,10m Air Rifle Women,ATH
Silver Medal,2,2024-07-29,HUANG Yuting,CHN,W,Shooting,10m Air Rifle Women,ATH
Bronze Medal,3,2024-07-29,Audrey GOGNIAT,SUI,W,Shooting,10m Air Rifle Women,ATH
Gold Medal,1,2024-07-29,HORIGOME Yuto,JPN,M,Skateboarding,Men's Street,ATH
Silver Medal,2,2024-07-29,Jagger EATON,USA,M,Skateboarding,Men's Street,ATH
Bronze Medal,3,2024-07-29,Nyjah HUSTON,USA,M,Skateboarding,Men's Street,ATH
Gold Medal,1,2024-07-29,Thomas CECCON,ITA,M,Swimming,Men's 100m Backstroke,ATH
Silver Medal,2,2024-07-29,XU Jiayu,CHN,M,Swimming,Men's 100m Backstroke,ATH
Bronze Medal,3,2024-07-29,Ryan MURPHY,USA,M,Swimming,Men's 100m Backstroke,ATH
Gold Medal,1,2024-07-29,David POPOVICI,ROU,M,Swimming,Men's 200m Freestyle,ATH
Silver Medal,2,2024-07-29,Matthew RICHARDS,GBR,M,Swimming,Men's 200m Freestyle,ATH
Bronze Medal,3,2024-07-29,Luke HOBSON,USA,M,Swimming,Men's 200m Freestyle,ATH
Gold Medal,1,2024-07-29,Tatjana SMITH,RSA,W,Swimming,Women's 100m Breaststroke,ATH
Silver Medal,2,2024-07-29,TANG Qianting,CHN,W,Swimming,Women's 100m Breaststroke,ATH
Bronze Medal,3,2024-07-29,Mona Mc SHARRY,IRL,W,Swimming,Women's 100m Breaststroke,ATH
Gold Medal,1,2024-07-29,Mollie O'CALLAGHAN,AUS,W,Swimming,Women's 200m Freestyle,ATH
Silver Medal,2,2024-07-29,Ariarne TITMUS,AUS,W,Swimming,Women's 200m Freestyle,ATH
Bronze Medal,3,2024-07-29,HAUGHEY Siobhan Bernadette,HKG,W,Swimming,Women's 200m Freestyle,ATH
Gold Medal,1,2024-07-29,Summer McINTOSH,CAN,W,Swimming,Women's 400m Individual Medley,ATH
Silver Medal,2,2024-07-29,Katie GRIMES,USA,W,Swimming,Women's 400m Individual Medley,ATH
Bronze Medal,3,2024-07-29,Emma WEYANT,USA,W,Swimming,Women's 400m Individual Medley,ATH
Gold Medal,1,2024-07-30,United States,USA,W,Artistic Gymnastics,Women's Team,TEAM
Silver Medal,2,2024-07-30,Italy,ITA,W,Artistic Gymnastics,Women's Team,TEAM
Bronze Medal,3,2024-07-30,Brazil,BRA,W,Artistic Gymnastics,Women's Team,TEAM
Gold Medal,1,2024-07-30,Italy,ITA,W,Fencing,Women's Épée Team,HTEAM
Silver Medal,2,2024-07-30,France,FRA,W,Fencing,Women's Épée Team,HTEAM
Bronze Medal,3,2024-07-30,Poland,POL,W,Fencing,Women's Épée Team,HTEAM
Gold Medal,1,2024-07-30,NAGASE Takanori,JPN,M,Judo,Men -81 kg,HATH
Silver Medal,2,2024-07-30,Tato GRIGALASHVILI,GEO,M,Judo,Men -81 kg,HATH
Bronze Medal,3,2024-07-30,LEE Joonhwan,KOR,M,Judo,Men -81 kg,HATH
Bronze Medal,3,2024-07-30,Somon MAKHMADBEKOV,TJK,M,Judo,Men -81 kg,HATH
Gold Medal,1,2024-07-30,Andreja LESKI,SLO,W,Judo,Women -63 kg,HATH
Silver Medal,2,2024-07-30,Prisca AWITI ALCARAZ,MEX,W,Judo,Women -63 kg,HATH
Bronze Medal,3,2024-07-30,Clarisse AGBEGNENOU,FRA,W,Judo,Women -63 kg,HATH
Bronze Medal,3,2024-07-30,Laura FAZLIU,KOS,W,Judo,Women -63 kg,HATH
Gold Medal,1,2024-07-30,New Zealand,NZL,W,Rugby Sevens,Women,HTEAM
Silver Medal,2,2024-07-30,Canada,CAN,W,Rugby Sevens,Women,HTEAM
Bronze Medal,3,2024-07-30,United States,USA,W,Rugby Sevens,Women,HTEAM
Gold Medal,1,2024-07-30,Serbia,SRB,X,Shooting,10m Air Pistol Mixed Team,HTEAM
Silver Medal,2,2024-07-30,Türkiye 2,TUR,X,Shooting,10m Air Pistol Mixed Team,HTEAM
Bronze Medal,3,2024-07-30,India 1,IND,X,Shooting,10m Air Pistol Mixed Team,HTEAM
Gold Medal,1,2024-07-30,Nathan HALES,GBR,M,Shooting,Trap Men,ATH
Silver Medal,2,2024-07-30,QI Ying,CHN,M,Shooting,Trap Men,ATH
Bronze Medal,3,2024-07-30,Jean Pierre BROL CARDENAS,GUA,M,Shooting,Trap Men,ATH
Gold Medal,1,2024-07-30,Great Britain,GBR,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM
Silver Medal,2,2024-07-30,United States,USA,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM
Bronze Medal,3,2024-07-30,Australia,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM
Gold Medal,1,2024-07-30,Daniel WIFFEN,IRL,M,Swimming,Men's 800m Freestyle,ATH
Silver Medal,2,2024-07-30,Bobby FINKE,USA,M,Swimming,Men's 800m Freestyle,ATH
Bronze Medal,3,2024-07-30,Gregorio PALTRINIERI,ITA,M,Swimming,Men's 800m Freestyle,ATH
Gold Medal,1,2024-07-30,Kaylee McKEOWN,AUS,W,Swimming,Women's 100m Backstroke,ATH
Silver Medal,2,2024-07-30,Regan SMITH,USA,W,Swimming,Women's 100m Backstroke,ATH
Bronze Medal,3,2024-07-30,Katharine BERKOFF,USA,W,Swimming,Women's 100m Backstroke,ATH
Gold Medal,1,2024-07-30,WANG/SUN,CHN,X,Table Tennis,Mixed Doubles,HCOUP
Silver Medal,2,2024-07-30,RI/KIM,PRK,X,Table Tennis,Mixed Doubles,HCOUP
Bronze Medal,3,2024-07-30,LIM/SHIN,KOR,X,Table Tennis,Mixed Doubles,HCOUP
Gold Medal,1,2024-07-31,OKA Shinnosuke,JPN,M,Artistic Gymnastics,Men's All-Around,ATH
Silver Medal,2,2024-07-31,ZHANG Boheng,CHN,M,Artistic Gymnastics,Men's All-Around,ATH
Bronze Medal,3,2024-07-31,XIAO Ruoteng,CHN,M,Artistic Gymnastics,Men's All-Around,ATH
Gold Medal,1,2024-07-31,Jessica FOX,AUS,W,Canoe Slalom,Women's Canoe Single,ATH
Silver Medal,2,2024-07-31,Elena LILIK,GER,W,Canoe Slalom,Women's Canoe Single,ATH
Bronze Medal,3,2024-07-31,Evy LEIBFARTH,USA,W,Canoe Slalom,Women's Canoe Single,ATH
Gold Medal,1,2024-07-31,Jose TORRES GIL,ARG,M,Cycling BMX Freestyle,Men's Park,ATH
Silver Medal,2,2024-07-31,Kieran Darren David REILLY,GBR,M,Cycling BMX Freestyle,Men's Park,ATH
Bronze Medal,3,2024-07-31,Anthony JEANJEAN,FRA,M,Cycling BMX Freestyle,Men's Park,ATH
Gold Medal,1,2024-07-31,DENG Yawen,CHN,W,Cycling BMX Freestyle,Women's Park,ATH
Silver Medal,2,2024-07-31,Perris BENEGAS,USA,W,Cycling BMX Freestyle,Women's Park,ATH
Bronze Medal,3,2024-07-31,Natalya DIEHM,AUS,W,Cycling BMX Freestyle,Women's Park,ATH
Gold Medal,1,2024-07-31,China,CHN,W,Diving,Women's Synchronised 10m Platform,TEAM
Silver Medal,2,2024-07-31,DPR Korea,PRK,W,Diving,Women's Synchronised 10m Platform,TEAM
Bronze Medal,3,2024-07-31,Great Britain,GBR,W,Diving,Women's Synchronised 10m Platform,TEAM
Gold Medal,1,2024-07-31,Korea,KOR,M,Fencing,Men's Sabre Team,HTEAM
Silver Medal,2,2024-07-31,Hungary,HUN,M,Fencing,Men's Sabre Team,HTEAM
Bronze Medal,3,2024-07-31,France,FRA,M,Fencing,Men's Sabre Team,HTEAM
Gold Medal,1,2024-07-31,Lasha BEKAURI,GEO,M,Judo,Men -90 kg,HATH
Silver Medal,2,2024-07-31,MURAO Sanshiro,JPN,M,Judo,Men -90 kg,HATH
Bronze Medal,3,2024-07-31,Maxime-Gael NGAYAP HAMBOU,FRA,M,Judo,Men -90 kg,HATH
Bronze Medal,3,2024-07-31,Theodoros TSELIDIS,GRE,M,Judo,Men -90 kg,HATH
Gold Medal,1,2024-07-31,Barbara MATIC,CRO,W,Judo,Women -70 kg,HATH
Silver Medal,2,2024-07-31,Miriam BUTKEREIT,GER,W,Judo,Women -70 kg,HATH
Bronze Medal,3,2024-07-31,Michaela POLLERES,AUT,W,Judo,Women -70 kg,HATH
Bronze Medal,3,2024-07-31,Gabriella WILLEMS,BEL,W,Judo,Women -70 kg,HATH
Gold Medal,1,2024-07-31,Netherlands,NED,M,Rowing,Men's Quadruple Sculls,TEAM
Silver Medal,2,2024-07-31,Italy,ITA,M,Rowing,Men's Quadruple Sculls,TEAM
Bronze Medal,3,2024-07-31,Poland,POL,M,Rowing,Men's Quadruple Sculls,TEAM
Gold Medal,1,2024-07-31,Great Britain,GBR,W,Rowing,Women's Quadruple Sculls,TEAM
Silver Medal,2,2024-07-31,Netherlands,NED,W,Rowing,Women's Quadruple Sculls,TEAM
Bronze Medal,3,2024-07-31,Germany,GER,W,Rowing,Women's Quadruple Sculls,TEAM
Gold Medal,1,2024-07-31,Adriana RUANO OLIVA,GUA,W,Shooting,Trap Women,ATH
Silver Medal,2,2024-07-31,Silvana Maria STANCO,ITA,W,Shooting,Trap Women,ATH
Bronze Medal,3,2024-07-31,Penny SMITH,AUS,W,Shooting,Trap Women,ATH
Gold Medal,1,2024-07-31,PAN Zhanle,CHN,M,Swimming,Men's 100m Freestyle,ATH
Silver Medal,2,2024-07-31,Kyle CHALMERS,AUS,M,Swimming,Men's 100m Freestyle,ATH
Bronze Medal,3,2024-07-31,David POPOVICI,ROU,M,Swimming,Men's 100m Freestyle,ATH
Gold Medal,1,2024-07-31,Leon MARCHAND,FRA,M,Swimming,Men's 200m Breaststroke,ATH
Silver Medal,2,2024-07-31,Zac STUBBLETY-COOK,AUS,M,Swimming,Men's 200m Breaststroke,ATH
Bronze Medal,3,2024-07-31,Caspar CORBEAU,NED,M,Swimming,Men's 200m Breaststroke,ATH
Gold Medal,1,2024-07-31,Leon MARCHAND,FRA,M,Swimming,Men's 200m Butterfly,ATH
Silver Medal,2,2024-07-31,Kristof MILAK,HUN,M,Swimming,Men's 200m Butterfly,ATH
Bronze Medal,3,2024-07-31,Ilya KHARUN,CAN,M,Swimming,Men's 200m Butterfly,ATH
Gold Medal,1,2024-07-31,Sarah SJOESTROEM,SWE,W,Swimming,Women's 100m Freestyle,ATH
Silver Medal,2,2024-07-31,Torri HUSKE,USA,W,Swimming,Women's 100m Freestyle,ATH
Bronze Medal,3,2024-07-31,HAUGHEY Siobhan Bernadette,HKG,W,Swimming,Women's 100m Freestyle,ATH
Gold Medal,1,2024-07-31,Katie LEDECKY,USA,W,Swimming,Women's 1500m Freestyle,ATH
Silver Medal,2,2024-07-31,Anastasiia KIRPICHNIKOVA,FRA,W,Swimming,Women's 1500m Freestyle,ATH
Bronze Medal,3,2024-07-31,Isabel GOSE,GER,W,Swimming,Women's 1500m Freestyle,ATH
Gold Medal,1,2024-07-31,Alex YEE,GBR,M,Triathlon,Men's Individual,ATH
Silver Medal,2,2024-07-31,Hayden WILDE,NZL,M,Triathlon,Men's Individual,ATH
Bronze Medal,3,2024-07-31,Leo BERGERE,FRA,M,Triathlon,Men's Individual,ATH
Gold Medal,1,2024-07-31,Cassandre BEAUGRAND,FRA,W,Triathlon,Women's Individual,ATH
Silver Medal,2,2024-07-31,Julie DERRON,SUI,W,Triathlon,Women's Individual,ATH
Bronze Medal,3,2024-07-31,Beth POTTER,GBR,W,Triathlon,Women's Individual,ATH
Gold Medal,1,2024-08-01,Simone BILES,USA,W,Artistic Gymnastics,Women's All-Around,ATH
Silver Medal,2,2024-08-01,Rebeca ANDRADE,BRA,W,Artistic Gymnastics,Women's All-Around,ATH
Bronze Medal,3,2024-08-01,Sunisa LEE,USA,W,Artistic Gymnastics,Women's All-Around,ATH
Gold Medal,1,2024-08-01,Brian Daniel PINTADO,ECU,M,Athletics,Men's 20km Race Walk,ATH
Silver Medal,2,2024-08-01,Caio BONFIM,BRA,M,Athletics,Men's 20km Race Walk,ATH
Bronze Medal,3,2024-08-01,Alvaro MARTIN,ESP,M,Athletics,Men's 20km Race Walk,ATH
Gold Medal,1,2024-08-01,YANG Jiayu,CHN,W,Athletics,Women's 20km Race Walk,ATH
Silver Medal,2,2024-08-01,Maria PEREZ,ESP,W,Athletics,Women's 20km Race Walk,ATH
Bronze Medal,3,2024-08-01,Jemima MONTAG,AUS,W,Athletics,Women's 20km Race Walk,ATH
Gold Medal,1,2024-08-01,Giovanni de GENNARO,ITA,M,Canoe Slalom,Men's Kayak Single,ATH
Silver Medal,2,2024-08-01,Titouan CASTRYCK,FRA,M,Canoe Slalom,Men's Kayak Single,ATH
Bronze Medal,3,2024-08-01,Pau ECHANIZ,ESP,M,Canoe Slalom,Men's Kayak Single,ATH
Gold Medal,1,2024-08-01,United States,USA,W,Fencing,Women's Foil Team,HTEAM
Silver Medal,2,2024-08-01,Italy,ITA,W,Fencing,Women's Foil Team,HTEAM
Bronze Medal,3,2024-08-01,Japan,JPN,W,Fencing,Women's Foil Team,HTEAM
Gold Medal,1,2024-08-01,Zelym KOTSOIEV,AZE,M,Judo,Men -100 kg,HATH
Silver Medal,2,2024-08-01,Ilia SULAMANIDZE,GEO,M,Judo,Men -100 kg,HATH
Bronze Medal,3,2024-08-01,Peter PALTCHIK,ISR,M,Judo,Men -100 kg,HATH
Bronze Medal,3,2024-08-01,Muzaffarbek TUROBOYEV,UZB,M,Judo,Men -100 kg,HATH
Gold Medal,1,2024-08-01,Alice BELLANDI,ITA,W,Judo,Women -78 kg,HATH
Silver Medal,2,2024-08-01,Inbar LANIR,ISR,W,Judo,Women -78 kg,HATH
Bronze Medal,3,2024-08-01,MA Zhenzhao,CHN,W,Judo,Women -78 kg,HATH
Bronze Medal,3,2024-08-01,Patricia SAMPAIO,POR,W,Judo,Women -78 kg,HATH
Gold Medal,1,2024-08-01,Romania,ROU,M,Rowing,Men's Double Sculls,TEAM
Silver Medal,2,2024-08-01,Netherlands,NED,M,Rowing,Men's Double Sculls,TEAM
Bronze Medal,3,2024-08-01,Ireland,IRL,M,Rowing,Men's Double Sculls,TEAM
Gold Medal,1,2024-08-01,United States,USA,M,Rowing,Men's Four,TEAM
Silver Medal,2,2024-08-01,New Zealand,NZL,M,Rowing,Men's Four,TEAM
Bronze Medal,3,2024-08-01,Great Britain,GBR,M,Rowing,Men's Four,TEAM
Gold Medal,1,2024-08-01,New Zealand,NZL,W,Rowing,Women's Double Sculls,TEAM
Silver Medal,2,2024-08-01,Romania,ROU,W,Rowing,Women's Double Sculls,TEAM
Bronze Medal,3,2024-08-01,Great Britain,GBR,W,Rowing,Women's Double Sculls,TEAM
Gold Medal,1,2024-08-01,Netherlands,NED,W,Rowing,Women's Four,TEAM
Silver Medal,2,2024-08-01,Great Britain,GBR,W,Rowing,Women's Four,TEAM
Bronze Medal,3,2024-08-01,New Zealand,NZL,W,Rowing,Women's Four,TEAM
Gold Medal,1,2024-08-01,LIU Yukun,CHN,M,Shooting,50m Rifle 3 Positions Men,ATH
Silver Medal,2,2024-08-01,Serhiy KULISH,UKR,M,Shooting,50m Rifle 3 Positions Men,ATH
Bronze Medal,3,2024-08-01,Swapnil KUSALE,IND,M,Shooting,50m Rifle 3 Positions Men,ATH
Gold Medal,1,2024-08-01,Hubert KOS,HUN,M,Swimming,Men's 200m Backstroke,ATH
